sample_id,arch_code,sample_node,energy
62,"[1, 0, 0, 0, 0, 0, 4, 3, 5, 0, 0, 1]",random,-0.6836031443292448
63,"[0, 0, 0, 0, 0, 0, 4, 3, 1, 2, 5, 1]",random,-1.1895215359309552
64,"[0, 1, 1, 1, 1, 1, 4, 0, 1, 2, 0, 4]",random,-0.8294286645258624
65,"[1, 1, 1, 1, 1, 1, 3, 3, 4, 2, 3, 2]",random,-0.7548266905656353
66,"[1, 1, 1, 1, 1, 0, 5, 5, 0, 1, 5, 3]",random,-0.8186208504054133
67,"[0, 1, 0, 1, 1, 0, 2, 4, 0, 2, 0, 0]",random,-0.5114501376159564
68,"[0, 0, 0, 1, 0, 1, 5, 2, 5, 4, 1, 4]",random,-0.8363108493994644
69,"[1, 0, 1, 1, 1, 1, 1, 0, 0, 4, 0, 1]",random,-0.5685643010125716
70,"[0, 1, 1, 0, 1, 1, 3, 4, 1, 2, 1, 2]",random,-0.8532145155223467
71,"[1, 0, 0, 0, 1, 0, 2, 3, 0, 1, 3, 2]",random,-0.5560624989112759
72,"[1, 1, 0, 0, 0, 0, 5, 2, 3, 1, 0, 2]",random,-0.7765537530064875
73,"[0, 0, 0, 0, 1, 0, 1, 2, 5, 4, 2, 4]",random,-0.8462252752464378
74,"[0, 1, 1, 1, 1, 0, 3, 4, 4, 5, 0, 3]",random,-0.566145938784737
75,"[0, 1, 0, 1, 1, 1, 5, 5, 0, 2, 2, 4]",random,-0.7634661925651146
76,"[1, 1, 1, 1, 1, 0, 3, 5, 1, 0, 1, 0]",random,-0.5850521512420795
77,"[1, 0, 0, 0, 1, 0, 3, 4, 4, 4, 0, 3]",random,-1.2044513552633909
78,"[1, 1, 1, 1, 1, 0, 5, 4, 3, 2, 2, 0]",random,-1.200026090032376
79,"[1, 1, 0, 1, 1, 1, 2, 2, 4, 1, 5, 0]",random,-0.26489784750623124
80,"[1, 1, 0, 1, 1, 1, 5, 3, 4, 4, 2, 1]",random,-0.6903649882404875
81,"[1, 1, 1, 0, 1, 1, 5, 5, 0, 1, 2, 1]",random,-0.38266851901317867
82,"[1, 0, 0, 1, 0, 1, 1, 0, 4, 1, 0, 3]",random,-0.3726377365343656
83,"[1, 0, 1, 0, 0, 0, 3, 5, 5, 1, 0, 3]",random,-1.0177464435740553
84,"[0, 0, 0, 0, 0, 1, 4, 5, 4, 1, 2, 0]",random,-0.22569065039928024
85,"[0, 1, 1, 1, 0, 1, 5, 5, 5, 0, 3, 2]",random,-1.1325877645494884
86,"[1, 0, 0, 1, 0, 1, 5, 4, 5, 5, 1, 4]",random,-0.9399410417956398
87,"[0, 1, 1, 0, 0, 0, 1, 2, 4, 2, 0, 3]",random,-0.6105496521974033
